1,MATH 19A,MATH 19B,AM 10
1,,,
2,CSE 13S,CSE 101,CSE 120
2,AM 30,CSE 107,ECE 30
2,,,
3,CSE 130,CSE 102,CSE 103
3,Elective,Elective,
3,,,
4,Elective,CSE 114A,Capstone elective
4,DC elective,,
Planner: Computer Science B.S. Planner 2
1,CSE 20,CSE 30,CSE 12
1,MATH 3,MATH 19A,MATH 19B
1,,,
2,CSE 13S,,CSE 101
2,AM 10,CSE 16,AM 30
2,,,
3,CSE 102,CSE 103,CSE 120
3,Elective,CSE 107,ECE 30
3,,,
4,CSE 114A,CSE 130,Capstone elective
4,DC Elective,Elective,
Planner: Computer Science B.S. Planner 3
1,CSE 12,CSE 101,CSE 130
1,AM 30,CSE 120,CSE 114A
1,STAT 131,,
2,Elective,CSE 102,Elective
2,"CSE 185S
            (DC Elective)",Capstone elective,Elective
2022-23,Computer Science: Computer Game Design B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Baskin-Engineering/Computational-Media/Computer-Science-Computer-Game-Design-BS
Planner: Computer Science: Computer Game Design B.S. Planner 1
1,CSE 20,College Writing Requirement,CSE 12
1,MATH 19A,MATH 19B or MATH 20B,CSE 16
1,College Core,CSE 30,CSE 80K
2,ARTG 80G,,ARTG 120
2,MATH 21 or AM 10,FILM 80V,CSE 120
2,ECE 13 or CSE 13S,CSE 101,CSE 111
3,CMPM 176,Game Engineering Elective,Game Engineering Elective
3,Game Engineering Elective,Game Engineering Elective,Game Engineering Elective
3,,,
3,,,
3,,,
4,CMPM 170,CMPM 171,CMPM 172
4,,,
Planner: Computer Science: Computer Game Design B.S. Planner 2
1,CSE 20,College Writing Requirement,CSE 12
1,MATH 3,CSE 30,MATH 19B
1,College Core,MATH 19A,CMPM 80K
2,ARTG 80G,FILM 80V,CMPM 120
2,ECE 13 or CSE 13S,MATH 21 or AM 10,ARTG 120
2,CSE 16,CSE 101,CSE 111
3,Game Engineering Elective,Game Engineering Elective,Game Engineering Elective
3,CMPM 176,Game Engineering Elective,Game Engineering Elective
3,,,
3,,,
4,CMPM 170,CMPM 171,CMPM 172
4,,,
Planner: Computer Science: Computer Game Design B.S. Planner 3
1,[OPEN]*,CMPM 80K,CSE 111
1,ARTG 80G,FILM 80V,CMPM 120
1,,CSE 101,ARTG 120
2,CMPM 170,CMPM 171,CMPM 172
2,CMPM 176,Game Engineering 2,Game Engineering 4
2022-23,Critical Race and Ethnic Studies B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Humanities-Division/Critical-Race-and-Ethnic-Studies/Critical-Race-and-Ethnic-Studies-BA
Planner: Critical Race and Ethnic Studies B.A. Planner 1
1,,,
1,,,
1,,,
2,CRES 10,CRES 100,CRES 101
2,,,CRES elective
2,,,
3,CRES elective,CRES elective,CRES elective
3,,CRES elective,
3,,,
4,CRES elective,CRES 190,
4,,,
Planner: Critical Race and Ethnic Studies B.A. Planner 2
1,CRES 10,CRES 100,CRES 101
